tweet_id	reply_id
1036488593064251392	1039312892313694208|
1036569500185968640	1039554586116272133|
1036572284708892673	1040181935887327232|
1036658124734660609	1039481130586701824|
1036674451142860800	1039556843683622917|
1036723252125753344	1039471976052600832|
1036776620588191749	1040134597412118528|
1036882446028103680	1039369671269527552|
1036911613138350080	1040686994031042562|
1036936163427340288	1039285165942554631|
1037044538144169984	1040106646196838400|
1037142286868668416	1045075026360377344|
1037148150450933760	1039285681053294592|
1037207668941905921	1040074356746010624|
1037355176242372608	1039883506694991873|
1037364115595915264	1043182089053585414|
1037372272200364032	1040245040730333184|
1037472834258460672	1043659427130363904|
1037570571637153792	1039313707719962625|
1037697882302935040	1040476062474358784|
1037716216142602241	1040021612668571648|
1037726587062497280	1039522118667522048|
1037728638123237376	1039413101471428609|
1037729973447090176	1040403142251347976|
1037734373796143105	1039425073608896512|
1037747946027200513	1045149512883408896|
1037767983278501888	1044582661476544512|
1037792025444315137	1039644865133510657|
1037819795129946113	1039446206538293248|
1038042822698573824	1039362381149872128|
1038062168925790209	1044693511612829696|
1038106622193815553	1039503415666126849|
1038132167363252224	1040115080061313024|
1038176615174471681	1040385601088958464|
1038183516008312837	1039322428432961539|
1038204393559085061	1039735064249159681|
1038215283184304129	1039393511680892930|
1038260286367719424	1040132372530905088|
1038350795937214465	1039269985825304577|
1038394754612916226	1039821548520185857|
1038399192899747840	1039912959550607366|
1038412761993117696	1040771927340544002|
1038453121930878977	1039314495879950337|
1038458507350237186	1039975529913438208|
1038465404572758017	1039318947659739136|
1038480112205713408	1039727255981764608|
1038511974215311360	1040409149278846976|
1038522790796775424	1039467645266022400|
1038533880192663552	1039528019055075328|
1038533988745404417	1039380467672182784|
1038537528851275781	1040488088844296192|
1038557876439183360	1039956158201688065|
1038564912593661952	1039251821582340097|
1038569772793978885	1043247552945119233|
1038585490478456834	1039320134643531778|
1038586298209067008	1039485899455770624|
1038603415855587328	1040022798473805824|
1038612046999445504	1039253991249465344|
1038613918464323584	1039343631830802434|
1038621564625932289	1040654564360257536|
1038628827130355718	1039636973055619072|
1038654458782253057	1043693363478835200|
1038680350527049728	1040635641447546880|
1038713621956583424	1039331783219851264|
1038717533363171328	1040901562497851392|
1038731866411610112	1039245790605189121|
1038757455612784640	1039276465957871616|
1038771188623986688	1039356158077689857|
1038788642393804802	1040624655185391617|
1038791188772474880	1039423803502288903|
1038794026516971520	1039372506866638849|
1038797464302698496	1039961640412700672|
1038801229638299648	1039248773661306880|
1038820636041404421	1039284032146681857|
1038823968155856898	1039281683093053440|
1038830358555504645	1039319152513757184|
1038842806070964224	1039264081960525824|
1038843914021679104	1039632762259402752|
1038852020936028164	1039315301656158208|
1038855424009822209	1039715561049968640|
1038856479808409601	1040242018595819520|
1038860316036280320	1039471355538731008|
1038867062960087040	1039340335984402433|
1038869775060004864	1039254343696826368|
1038870812718059521	1039317138379624448|
1038893850452869121	1039308271000215552|
1038898689870389248	1039804159418019841|
1038903882494173184	1039393909657415680|
1038908405061173249	1039862667047923712|
1038908861313413120	1039625340476223488|
1038911593201844224	1039274301441101824|
1038926003215773696	1039325544192638976|
1038927802173673472	1039241487471534080|
1038934270159478784	1039260453120163842|
1038935593013714944	1040606225098891264|
1038937347960840193	1039463783054430209|
1038942488306876416	1039565140230848517|
1038949269389172738	1039273109172482059|
1038950844840865793	1039500799670464513|
1038958262337585152	1039509891671420930|
1038970570745028608	1039344440597331970|
1038985506724499457	1039292176612683776|
1038986547977244672	1039335688586637312|
1038991974274138112	1040498563988566018|
1038993937040474112	1039647371569717249|
1038994740904116224	1039237382694989824|
1038997349157273600	1039246873347989505|
1039001531482353664	1039635765217697797|
1039007768458547200	1039645565687132160|
1039012589311746048	1039288420785213440|
1039017377621520384	1039460380513378304|
1039022512418344960	1039250788286181378|
1039024876047101952	1039373351913844736|
1039027439727464449	1040595288589774848|
1039029193361838080	1039285025802543104|
1039036127414431744	1039759772051021826|
1039038435011506176	1039257383732539392|
1039048807709728768	1040210862122983424|
1039053461046927360	1039536676031418368|
1039059630054408192	1039487310973333504|
1039059769779085312	1039281151867674625|
1039076196812816390	1039587591954345985|
1039077337881559040	1039263179451326464|
1039083110737043456	1040006173532069888|
